user_id,user_name,Level,Sex,Sign_Length,Sex_Encoded,Persona_Cluster
1265754039,海信Studio,5,保密,10,0,1
100612942,今天我吃鱼了喵,6,保密,6,0,2
6257598,我会摇尾巴,6,保密,0,0,2
13790124,丁汉白玉,6,保密,0,0,2
607636830,恩熙du,6,保密,16,0,2
14226409,焕月huanyue,6,男,0,2,3
1028434204,马福古古,5,保密,3,0,1
1572137241,下次看海约在哪你说呢,5,保密,0,0,1
3546912540067869,水古月的影子,4,保密,0,0,1
601086053,Rain_墨云绘雨,6,保密,11,0,2
490771569,Hwhan_9,5,保密,0,0,1
1961736666,千诗百寒,6,保密,70,0,0
420231720,老乡鸡,6,保密,17,0,2
173006769,何星星-学习版,4,男,7,2,4
674734501,哔哩哔哩公益,6,保密,41,0,0
351999927,SyoTech,6,保密,11,0,2
440172178,费雪Fisher,6,保密,14,0,2
482131936,想当歌手的程序猿,5,女,9,1,1
410505182,小白打野,6,男,53,2,3
33075498,拳头游戏,6,保密,28,0,2
244258989,我要疯狂的鹿,6,保密,7,0,2
