bvid,title,duration_sec,pubdate,views,likes,coins,favorites,shares,comment_count,danmaku_count
BV1f4ScB4Efz,【杜比视界】拍拍中国的盐,625,1764471600,2664938,131835,39582,19679,3159,2660,4705
BV1QMSjBREzr,AI可以取代我，那我的意义是？,1389,1764327540,5889968,620114,608880,247351,72901,16284,119252
BV1uDCrBkEiw,英雄联盟总决赛，他们耳机里到底在听什么？,783,1763434800,2903980,173413,68496,25306,9783,5198,6605
BV16YC3BrEDz,关于影视飓风近期舆情,353,1763139727,7487359,552507,273178,74336,29244,15987,48738
BV1yQCxBREZP,可变光圈？大疆Action 6运动相机上手,595,1763035200,1304752,69066,21768,11507,9957,3850,3827
BV1TZk2BEEdz,从没想过的问题？！影视飓风1400万粉丝Q&A！,1037,1762916516,5451515,385569,218646,95297,15045,14432,80247
BV1eU1vBiEqh,用生命做视频？00后的博主都在做什么？,1131,1762169434,5905823,400637,297063,134249,22618,6426,12583
BV18nyhBLEN9,1499元的新大疆无人机，够拍吗？大疆 Neo 2上手,625,1761825600,1673854,79379,21291,15910,12246,3419,4177
BV133xFzKEsd,洋人丢的电子垃圾，都去哪了？,1359,1761447600,7207327,534680,459729,155578,48632,17361,42934
BV1YZsEzXEEq,用AI扫街，会比摄影师拍得更好吗？,573,1761296400,2449173,108609,20420,17502,3824,1998,3677
